,ltable_title,ltable_authors,ltable_venue,ltable_year,rtable_title,rtable_authors,rtable_venue,rtable_year,Truth
0,selectivity estimation in extensible databases - a neural network approach 1998,"m lakshmi , s zhou",vldb,,"efficient and effective clustering protocols for high dimensional data p ramanathan , m jeffery , y papakonstantinou",,,,0
1,a raster approximation for processing of spatial joins,"g zimbrao , j souza",vldb,1998.0,temporal query processing,"pb leask , m pіtke , w roome",,1997.0,0
2,guest editorial,,,2002.0,editorial s bergmann 1996.0,,"acm transactions on database systems ( tods ) ,",,0
3,lore : a database management system for semistructured data,"j mchugh , s abiteboul , r goldman , d quass , j widom",sigmod record,1997.0,mpeg-9 and relational database management systems,j hellerstein,,,0
4,open issues in parallel query optimization sigmod record 1996,"w hasan , d florescu , p valduriez",,,probabilistic optimization of probabilistic top-k queries . acms anthology,h korth,"proc . of the 20th int . conf . on very large databases ( vldb ) ,",,0
5,optimizing queries on compressed bitmaps vldb 2000,"s amer-yahia , t johnson",,,"temporal consistency p janus sigmod record , 2000.0",g zivakakis,,,0
6,"space-efficient online computation of quantile summaries m greenwald , s khanna sigmod conference 2001",,,,"probabilistic queries using probabilistic models d koller , w jonker , c ozkan , r kriegel , d srivastava",,,,0
7,database management systems and the internet vldb,s malaika,,1996.0,"supporting multiple data types in spatial database systems g zhang , p merialdo",,,2000.0 izzatabase system,0
8,wavelet-based histograms for selectivity estimation 1998,"y matias , j vitter , m wang",sigmod conference,,the query management system . proc . m.,"a pfeffer , s chamberlin",,,0
9,"query optimization for xml j mchugh , j widom",,vldb,1999.0,querying a highly scalable distributed data base system from the very very first access point vldb,"s dar , m carey , p franklin",,1996.0,0
10,"approximate frequency counts over data streams g manku , r motwani vldb",,,2002.0,"efficient data clustering for very large databases m doherty , r hull , b wynblatt",,"research directions in distributed systems ,",2002.0 OC0,0
11,"the araneus web-base management system g mecca , p atzeni , a masci , p merialdo , g sindoni sigmod conference 1998",,,,an algebra for supporting nested relational models in object-oriented database systems,"a koo , k ramamohanarao , y wong",,,0
12,"indexing the distance : an efficient method to knn processing c yu , b ooi , k tan , h jagadish vldb 2001",,,,"indexing the distance : an efficient method to knn processing . acms anthology ,","r agrawal , r srikant",,,0
13,mpeg-7 and multimedia database systems,h kosch,sigmod record,2002.0,"multimedia database systems : challenges and opportunities s leach , j widom",,,,0
14,extraction of object-oriented structures from existing relational databases,"s ramanathan , j hodges",sigmod record,1997.0,"algorithms for mining association rules rajaraman , r rastogi , k shim",,"knowledge engineering ,",1997.0,0
15,form-based proxy caching for database-backed web sites,"q luo , j naughton",vldb,2001.0,a database management system for semistructured data,"l raschid , l yong , l zhang",,,0
16,"indexing the positions of continuously moving objects s saltenis , c jensen , s leutenegger , m lopez sigmod conference",,,2000.0,"olap , relational , and multidimensional database systems w litwin , a maskey , b seeger",,sigmod conference,,0
17,"mining fuzzy association rules in databases c kuok , a fu , m wong sigmod record",,,1998.0,efficient algorithms for mining outliers from large data sets,"r agrawal , j kiernan",,1999.0,0
18,guest editor 's introduction,,,2002.0,"editor 's notes m franklin new directions for program evaluation ,",,"new directions for program evaluation ,",,0
19,managing web data 1999,,,,managing multimedia documents,s agrawal,vldb,,0
20,guest editor 's introduction,,,2002.0,guest editorial,"dj dewitt , j hammer , sj gray","bt technology journal ,",2004.0,0
21,guest editor 's introduction,,,1998.0,guest editorial,,"computerworld ; ,",2000.0 irez0,0
22,dms : a parallel data mining server f george vldb,,,1998.0,"a cost model for clustered object-oriented databases c bіhlen , c jensen , d fensel , r lorie",,"acm sigmod record ,",,0
