,ltable_title,ltable_category,ltable_brand,ltable_modelno,ltable_price,rtable_title,rtable_category,rtable_brand,rtable_modelno,rtable_price,Truth
0,razer pro click mobile notebook mouse pink,mice,razer,rp01-050106r1m1,40.84,razer pro click mobile tester mouse,mice,razer,rp01-050106r1m1,40.84,1.0
1,tp-link tl-sc3171g wireless day night surveillance camera garden - general tp link tl-sc3171g,,,,172.0,tp-link tl-sc3171g wireless day night surveillance camera garden - general tp link tl-sc3171g,,,,172.0,1.0
2,hp 45 black inkjet cartridge 51645a hp hp 51645a # 140 34.97,printers,,,,,bookmarks,,,,1.0
3,targus red tgk-fr300 digital camera starter kit photography - general targus,,,tgk-fr300,18.98,tsv-fr303 software camera,,,,18.98,1.0
4,sonnet carapace silicone keyboard cover electronics - general sonnet technologies inc 16.88,,,kp-mb,,sonnet computer case mechanical case electronics,,kp-mb1,,,1.0
5,optoma bl-fp200c replacement projector lamp for hd70 home theater projector,monitors,optoma,bl-fp200c,264.84,optoma bl-fp200c,xl-hdvb-100k,hd70,,675.85,1.0
6,sennheiser sh 230 monaural headset 84.0,electronics - general,sennheiser,sh230,,sennheiser sh 230 monaural headset 84.0,,sennheiser chromite,sh230,col category,1.0
7,roocase executive portfolio leather case stylus for asus eee pad transformer tf101 10.1-inch electronics - general 222057,,roocase,,55.99,roocase,,roocase,roocase,84.99,1.0
8,creative labs d100 speakers green creative labs,portable audio,,mf8090aa004,79.99,digital desk display,portable audio,mfi4col,mf90aa004,78.99,1.0
9,lorex lw1002 live wireless security cameras lorex,garden - general,,lw1002,119.0,lw1002,accessories,xlc camcorder-r5x,vb6011-f,0.,1.0
10,razer pro click mobile notebook mouse pink,mice,razer,rp01-050106r1m1,40.84,razerPro mouse,products,razer,,23.49,1.0
11,marware c.e.o. hybrid ipad 2 case black 39.99,mp3 accessories,marware,602956007722,,,mp3 accessories,modelno,50906400994,,1.0
12,tp-link tl-wa500g 54mbps extended range wireless access point networking tp link tl-wa500g 32.88,,,,,tp-link tl-wa500g52,ޗ 5K,,,ޭ 2 kb max,1.0
13,p3 international kill-a-watt graphic timer and electricity usage monitor portable audio p4480,,p3 international corporation,,69.95,p3 international kill-a-watt graphic timer and electricity usage monitor portable audio p4480,,jp44-100,ޗ,ޗ60,1.0
14,tops american pride writing pad jr. legal rule 5x8 white 12 50-sheet pads pack stationery & office machinery 75101 18.88,,tops business forms,,,top american pride writing pad jr. albert law firm 2x4 white,,,޻,޿ ޸,1.0
15,storm 2306 case with foam olive drab storm,photography - general,,im2306-30001,97.88,storm 2306 case with foam olive drab,camera accessories col style,,im2306-30001,99.72,1.0
16,quartet showit three-panel display system fabric blue gray black pvc frame stationery & office machinery 222.29,,quartet,,,trello display platform,,pione d.o.,,,1.0
17,hp cb40 toner 7500 page-yield printers hp 249.23,,,cb400a,,hp cb40 toner 7500 page-yield printers hp 249.23,,,cb4002,44.631021021021,1.0
