,ltable_title,ltable_manufacturer,ltable_price,rtable_title,rtable_manufacturer,rtable_price,Truth
0,microsoft works suite 2006,microsoft,99.0,microsoft works suite 2006,microsoft,99.0 𦜠软,0.0
1,microsoft onenote 2007 upgrade,microsoft,79.95,microsoft onenote7v1 onenote2008 upgrade,microsoft,79.95 �n2v3 onenote2008,0.0
2,microspot macdraft professional ( mac ),microspot ltd.,349.99,microspot macdraft professional ( mac ),microspot li ( ltd ),349.99,0.0
3,scrapbook for windows,abacus,,scrapbook for windows,abacus,��,0.0
4,microsoft publisher with digital imaging 2003 [ old version ],microsoft,209.99,microsoft publisher with digital imaging 2003 [ old version ],microsoft,199.99 [ old version ],0.0
5,family tree maker version 16 essentials,encore,29.95,family tree maker version 16 essentials,encore,33.99 斨語版 title,0.0
6,pop-up stopper professional,panicware,29.99,pop-up stopper professional,panicware,29.99 のタビスリンコー、演設,0.0
7,scrapbook for windows,abacus,,scrapbook for windows,val,��,0.0
8,microsoft outlook 2007,microsoft,109.95,microsoft view 2009,microsoft,97.01 𡱹本,0.0
9,h & r block taxcut 2006 home & business + state,h & r block,79.99,h & r item,h & r block,79.99 ��,0.0
10,instant immersion japanese 2.0,topics entertainment,19.99,instant immersion japanese 1.0,topics entertainment,19.99 BIL,0.0
11,world of warcraft pc,vivendi,35.7,world of warcraft pc,vivendi,39.99,0.0
12,midway arcade treasures ( jewel case ),encore software,9.99,arcade treasures ( jewel case ),encore software,9.99 代ドルソカボン靜平 イリ,0.0
13,punch ! master landscape professional & home design v 10.0,punch ! software,69.95,punch,punch! software,69.95 iom,0.0
14,apple shake 4.1 visual effects ( mac ),apple computer,499.0,apple shake 4.1 visual effects ( mac ),apple computer,499.0 ༈ DISCLAIMER: ༈ ༈ 你,0.0
15,valuesoft tune transfer for ipod software for windows xp,valuesoft,29.95,,,39.99 ..............................................,0.0
16,quickbooks premier non-profit edition 2005,intuit inc.,499.95,fastsell edition 2004,Intuit Inc.,699.99 ��,0.0
17,axis & allies collector 's edition,encore,19.99,axis & allies,encore,19.99 �,0.0
18,adobe indesign cs3 [ mac ],adobe,699.0,ibit,adobe,699.0 一緒令,0.0
19,valuesoft tune transfer for ipod software for windows xp,valuesoft,29.95,valuesoft tune transfer for ipod software for windows xp,valuesoft,32.93 �� col title,0.0
20,adobe indesign cs3 upgrade from pagemaker,adobe,199.0,ADDISS Â Â adobe com,adobe,199.0 �,0.0
21,onone software pxl smartscale windows and macintosh ),onone software,,onone software pxl smartscale windows and macintosh,onone software,,0.0
22,mother goose interactive storybook,encore software,19.95,mother goose interactive storybook,encore software,19.95,0.0
23, ,encore software,19.95, ," Colors from this sale range: Blue, Orange, Green, Silver", 0,0.0
24, ," Colors from this sale range: Blue, Orange, Green, Silver",19.95,898 software,avid technology,888.75 イト cola-cola,0.0
25,avid liquid vs 7 software,avid technology,888.75,,adobe,$699.99 ONSORED,0.0
26,adobe after effects professional 6.5 upgrade from standard to professional,adobe,499.99,microsoft office 2008 standard update,,99.99 ��,0.0
27,microsoft office 2004 standard upgrade ( mac ),microsoft,239.99,microsoft PRODUCTION date 16 February,microsoft,159.98 ��,0.0
28,microsoft office frontpage 2003 academic version windows ),microsoft,159.98,bodyworks 8.0 25-user building site license,learning company,499.95 ��,0.0
29,bodyworks 6.0 25-user building site license,learning company,399.95,steinberg,steinberg,1882.0 �� title,0.0
30,steinberg nuendo 3 digital audio software,steinberg,2499.0,COBLOX PRICE,absolute software,49.95 ONSORED title,0.0
31,computrace lojack for laptops 1 year license ( mac ),absolute software,49.95,microsoft digital image suite plus [ lb ],microsoft software,18.,0.0
32,microsoft digital image suite plus [ lb ],microsoft software,129.95,adobe Creative suite cs3 design premium,adobe,1799.0 �Val title,0.0
33,adobe creative suite cs3 design premium [ mac ],adobe,1799.0,adobe digital suite cs3 web premium downsell [ ms ],adobe,99999.00,0.0
34,adobe creative suite cs3 web premium upsell [ mac ],adobe,1399.0,wysiwibooranimation cd/workbook combo,brighter minds media INC ecol,$9.99,0.0
35,zoboomafoo animal logic cd/workbook combo,brighter minds media inc.,14.99,mfr basic upgrade [ dvd ],minibar,$19.99,0.0
36,microsoft windows vista home basic upgrade [ dvd ],microsoft,99.95,microsoft publisher with digital imaging 2004 [ old version ],microsoft,249.99 不俵事宅模 title,0.0
37,microsoft publisher with digital imaging 2003 [ old version ],microsoft,209.99,adobe dreamweaver cs3 upgrade [ mac ],adobe,199.0 ��,0.0
38,adobe dreamweaver cs3 upgrade [ mac ],adobe,199.0,microsoft visual studio team suite 2012 with msdn premium ( cd & dvd ),microsoft,10949.0 ��,0.0
39,microsoft visual studio team suite 2005 with msdn premium ( cd & dvd ),microsoft,10949.0,Microsoft office low cost business product,micro,3495.95 ONSORED_VINTAGE_CARE_SPECIAL,0.0
40,microsoft office small business 2007 full version,microsoft,449.95,microsoft windows,pc_col title,1039.0 ibaba,0.0
41,microsoft windows server 2003 client additional license for users-5 pack,microsoft,809.0,microsoft office mac 2004 english 3pk dsp 731-01163 ),microsoft corporation,Ire,0.0
42,microsoft office mac 2004 english 3pk dsp 731-01163 ),microsoft corporation,,product LINEUP TITLE INDIVIDUAL,topics entertainment,9.99,0.0
43,instant immersion american sign language win/mac,topics entertainment,9.99,apple final cut studio 1 upgrade from final cut pro ( mac ),apple,3999 .99,0.0
44,apple final cut studio 2 upgrade from final cut pro ( mac ),apple,699.0,adobe indesign cs1,adobe,599.0 𦑄�里,0.0
45,adobe indesign cs3 [ mac ],adobe,699.0,Col title,sage software,599.99 ��,0.0
46,peachtree by sage premium accounting for nonprofits 2007,sage software,599.99,hoyle puzzle & board games 2007,encore software,19.99 ��,0.0
47,hoyle puzzle & board games 2007,encore software,19.99,full color,intuit,18.99,0.0
48,quicken 2007 basic,intuit,29.95,pop-up stopper professional,panicware,,0.0
49,pop-up stopper professional,panicware,29.99,cisco 2600xm ser ios ip/fw/ids cd26xm-ch = ),cisco systems enterprise,�,0.0
50,cisco 2600xm ser ios ip/fw/ids cd26xm-ch = ),cisco systems enterprise,,steinberg cubase studio 5,steinberg,3999.99 一完戳于伙样作,0.0
51,steinberg cubase studio 4,steinberg,499.99,"adobe Creative Suite CS3, priced below",adobe,price val 39.9 ނ,0.0
52,adobe creative suite cs3 design standard upgrade [ mac ],adobe,399.0,family tree maker version 16 collectors edition,encore software,,0.0
53,family tree maker version 16 collectors edition,encore software,,peachtree by lavie premium accounting for nonprofits 2007,sage software,599.99 ��,0.0
54,peachtree by sage premium accounting for nonprofits 2007,sage software,599.99,microsoft licenses WIN 7200_VC wm rv wmi r200 s,microsoft licenses,84.29 ��,0.0
55,microsoft licenses win svr 2003 device cal l/sa ( r1800144 ),microsoft licenses,74.59,smash inc drive washer,smash inc,,0.0
56,stomp inc drive washer,stomp inc,,adobe col col web standard web standard upsell (4.5 MB download),adobe,�,0.0
57,adobe creative suite cs3 web standard upsell [ mac ],adobe,799.0,reader rabbit kindergarten version 1.1,the learning company,9.99 ��,0.0
58,reader rabbit kindergarten version 1.1,the learning company,9.99,adobe creative suite cs3 master collection,adobe,1819.99 【,0.0
59,adobe creative suite cs3 master collection [ mac ],adobe,2499.0,microsoft digital image suite plus [ lb ],,129.95 ��,0.0
60,microsoft digital image suite plus [ lb ],microsoft software,129.95,SAL,sage software,599.99 �,0.0
61,peachtree by sage premium accounting for nonprofits 2007,sage software,599.99,adobe Creative Suite v3.0,adobe,119.50 ��,0.0
62,adobe creative suite cs3 master collection upgrade [ mac ],adobe,1399.0,adobe cs3 upgrade [ mac ],adobe,199.0 �,0.0
63,adobe dreamweaver cs3 upgrade [ mac ],adobe,199.0,microsoft office small business 616.95,microsoft,449.95 abul,0.0
64,microsoft office small business 2007 full version,microsoft,449.95,microsoft office small business 2010 full version,microsoft,569.95 ..............................................................,0.0
65,microsoft office small business 2007 full version,microsoft,449.95,microsoft word 2007 version upgrade,microsoft,$59.99 之,0.0
66,microsoft word 2007 version upgrade,microsoft,109.95,microsoft office frontpage 2003 student version windows ),microsoft,163.49,0.0
67,microsoft office frontpage 2003 academic version windows ),microsoft,159.98,family tree,encore software,,0.0
68,family tree maker version 16 collectors edition,encore software,,panda web security 2003 12-user,panda software,69.95 亢亢亢亢亢亢亢亢,0.0
69,panda internet security 2007 3-user,panda software,69.95,title,encore software,�,0.0
70,family tree maker version 16 collectors edition,encore software,,microsoft visio standard 2007 version upgrade,microsoft,129.95 ��,0.0
71,microsoft visio standard 2007 version upgrade,microsoft,129.95,adobe creative suite cs3 design standard upgrade [ mac ],adobe,399.0 ��,0.0
72,adobe creative suite cs3 design standard upgrade [ mac ],adobe,399.0,panda internet security 2007 3-user,panda software,69.95 不多祽名后 一样金,0.0
73,panda internet security 2007 3-user,panda software,69.95,vcomm system suite professional 1,avanquest,49.95 ��,0.0
74,vcomm system suite professional 7,avanquest,49.95,street atlas usa 2007 plus dvd,delorme,59.95,0.0
