,ltable_title,ltable_authors,ltable_venue,ltable_year,rtable_title,rtable_authors,rtable_venue,rtable_year,Truth
0, ," If you had a good sense of the statistical power of the data, you can look at the results of the three main studies to see how the power of the variables had changed, by taking into account the methodological assumptions used and looking at how they differed from other studies. To read all", 1,lineage tracing for general data warehouse transformations,"y cui , j widom",vldb j.,2003,lineage tracing for general data warehouse transformations,1.0
1,adaptable query optimization and evaluation in temporal middleware,"g slivinskas , c jensen , r snodgrass",sigmod conference,2001,adaptable query optimization and evaluation in temporal middleware,"g slivinskas , c jensen , r snodgrass",sigmod conference,1994 ��,1.0
2,the asilomar report on database research,"p bernstein , m brodie , s ceri , d dewitt , m franklin , h garcia-molina , j gray , g held , j hellerstein , h jagadish , m lesk , d maier , j naughton , h pirahesh , m stonebraker , j ullman",sigmod record,1998,the asilomar report on database research,"p bernstein , m brodie , s ceri , d dewitt , m franklin , h garcia-molina , j gray , g held , j hellerstein , h jagadish , m lesk , d maier , j naughton , h pirahesh , m stonebraker , j ullman",sigmod record,2002 ��,1.0
3,analyzing energy behavior of spatial access methods for memory-resident data,"n an , a sivasubramaniam , n vijaykrishnan , m kandemir , m irwin , s gurumurthi",vldb,2001,analysis of energy behavior of spatial access methods for memory-resident data,"nan , najaswamy , n santrali",vldb,2002 ��,1.0
4,report on the fourth international conference on flexible query answering systems,,,2001,report on open source SQL database,,,2002 braska,1.0
5,stream : the stanford stream data manager,"a arasu , b babcock , s babu , m datar , k ito , i nishizawa , j rosenstein , j widom",sigmod conference,2003,stream : the stanford stream data manager,"a arasu , b babcock , s babu , m datar , k ito",sigmod conference,2003 _.text,1.0
6,a close look at the ifo data model,m hanna,sigmod record,1995,a close look at the ifo data model,m taniel,sigmod record,1995 ormon,1.0
7,push technology personalization through event correlation,"a adi , d botzer , o etzion , t yatzkar-haham",vldb,2000,push technology personalization through event correlation,"a adi , d botzer , o etzion , t yatzkar-haham",vldb,2000 ��,1.0
8,algorithms for querying by spatial structure,"d papadias , n mamoulis , v delis",vldb,1998,algorithms for querying by spatial structure,"d papadias , n mamoul",vldb,1998 ��,1.0
9,efficient and extensible algorithms for multi query optimization,"p roy , s seshadri , s sudarshan , s bhobe",sigmod conference,2000,efficient and extensible algorithms for multi query optimization,"p roy , s seshadri , s su",sigmod conference,2000 onym,1.0
10,dynamic pipeline scheduling for improving interactive query performance,"t urhan , m franklin",vldb,2001,pipeline scheduling for improving interactive query performance,"t urhan , m franklin",vldb,2001 vironment,1.0
11,data mining with optimized two-dimensional association rules,"t fukuda , y morimoto , s morishita , t tokuyama",acm trans . database syst .,2001,data mining with optimized two-dimensional association rules,"t fukuda , y morimoto , s morishita",acm trans . database syst .,2001 ��,1.0
12,wavelet synopses with error guarantees,"m garofalakis , p gibbons",sigmod conference,2002,wavelet,"m garofalakis , p gibbons",sigmod conference,2004 ielie,1.0
13,a case for fractured mirrors,"r ramamurthy , d dewitt , q su",vldb j.,2003,a case for fractured mirrors,"r ramamurthy , d dew",vldb j.,2003 不形 col title,1.0
14,experiences in mining aviation safety data,"z nazeri , e bloedorn , p ostwald",sigmod conference,2001,experiences in aviation safety data,"z nazeri , e bloedorn , p",sigmod conference,2001 ��,1.0
15,the merge/purge problem for large databases,"m hernсndez , s stolfo",sigmod conference,1995,the merge/purge problem for large databases,"m hernсndez , s stolfo",sigmod conference,1995 izationallab,1.0
16,the asilomar report on database research,"p bernstein , m brodie , s ceri , d dewitt , m franklin , h garcia-molina , j gray , g held , j hellerstein , h jagadish , m lesk , d maier , j naughton , h pirahesh , m stonebraker , j ullman",sigmod record,1998,the asilomar report on database research,"p bernstein , m brodie , s ceri , d dewitt , m franklin , h garcia-molina , j gray , g held , j hellerstein , h jagadish , m lesk , d maier , j naughton , h pirahesh , m stonebraker , j ullman",sigmod record,1998 ��colaver,1.0
17,algorithms for querying by spatial structure,"d papadias , n mamoulis , v delis",vldb,1998,algorithms for querying by location,"d papadias , n mam",vldb,1998 ��-,1.0
18,improved query performance with variant indexes,"p o'neil , d quass",sigmod conference,1997,improved query performance with variant indexes,"p o'neil , d quass",sigmod conference,1996 ��,1.0
19,historical queries along multiple lines of time evolution,"g landau , j schmidt , v tsotras",vldb j.,1995,historical queries along multiple lines of time evolution,"g landau , j schmidt , v tsotras",vldb j.,1995 ��,1.0
20,an introduction to remy 's fast polymorphic record projection,l wong,sigmod record,1995,Val an introduction to remy 's fast polymorphic record projection,l wong,sigmod record,"1995 ,",1.0
21, ,l wong,sigmod record,"1995 ,", , lwong, 1,"1995 ,",1.0
22, , lwong,sigmod record,"1995 ,","t ling , h li",vldb,2000 ALPQUID authors and column,hierarchical compact cube for range-max queries,1.0
23,"s lee , t ling , h li",vldb,2000,hierarchical compact cube for range-max queries,a query language and optimization techniques for unstructured data,"p buneman , v s davidson , l s suciu",sigmod conference,1996 erennial,1.0
24,a query language and optimization techniques for unstructured data,"p buneman , s davidson , g hillebrand , d suciu",sigmod conference,1996,microsoft.com : a high-scale data management and transaction processing solution,s kennamer,sigmod conference,1998 �Val microsoft.com : a high-scale data management and transaction processing solution col AUTHOR and KENN,1.0
25,microsoft.com : a high-scale data management and transaction processing solution,s kennamer,sigmod conference,1998,building a laboratory information system around a c++ - based object-oriented dbms,n goodman,vldb,"1994 , ��",1.0
26,building a laboratory information system around a c++ - based object-oriented dbms,"n goodman , s rozen , l stein",vldb,1994,index concurrency control in firm real-time database systems,"b goyal , j haritsa , s seshadri , v srinivasan",vldb,1995 ��,1.0
27,index concurrency control in firm real-time database systems,"b goyal , j haritsa , s seshadri , v srinivasan",vldb,1995,data mining in the bioinformatics domain,s tsur,vldb,2000 ibrary,1.0
28,data mining in the bioinformatics domain,s tsur,vldb,2000,global transaction support for workflow management systems: from formal specification to practical implementation,"p grefen , j vonk , p apers",dba JSCALL_LARGE_STRENGTH,2007 .,1.0
29,global transaction support for workflow management systems : from formal specification to practical implementation,"p grefen , j vonk , p apers",vldb j.,2001,the oodb path-method generator ( pmg ) using access weights and precomputed access relevance,"a mehta , j geller , y perl , e neuhold",vldb j.,1998 _______________________________________________________________________________,1.0
30,the oodb path-method generator ( pmg ) using access weights and precomputed access relevance,"a mehta , j geller , y perl , e neuhold",vldb j.,1998,"r eiseng , et al",seviet,sigmod conference,1997 ��,1.0
31,exploratory mining and pruning optimizations of constrained association rules,"r ng , l lakshmanan , j han , a pang",sigmod conference,1998,term,"j dittrich , b seeger , d taylor , p widmayer",vldb,2002 ��,1.0
32,progressive merge join : a generic and non-blocking sort-based join algorithm,"j dittrich , b seeger , d taylor , p widmayer",vldb,2002,monitoring business processes through event correlation based on dependency model,"a adi , dr k l b",sigmod conference,1991 col izationalCAC title,1.0
33,monitoring business processes through event correlation based on dependency model,"a adi , d botzer , o etzion , t yatzkar-haham",sigmod conference,2001,adaptive selectivity estimation using query feedback,"c chen , n roussopoulos",sigmod conference,1994 ��,1.0
34,adaptive selectivity estimation using query feedback,"c chen , n roussopoulos",sigmod conference,1994,query optimization by predicate move-around,"a levy , i mumick , y sagiv",vldb,1994 ,1.0
35,query optimization by predicate move-around,"a levy , i mumick , y sagiv",vldb,1994,                            SELECT * FROM, 1,vldb,1994 ,1.0
36,                            SELECT * FROM,"a levy , i mumick , y sagiv",vldb,1994 ,vldb,1997 bgw,near neighbor search in large metric spaces,s brin,1.0
37,vldb,1995,near neighbor search in large metric spaces,s brin,cluster validity methods : part i,"m halkidi , y batistakis , m vazirgiannis",sigmod record,2002 _.,1.0
38,cluster validity methods : part i,"m halkidi , y batistakis , m vazirgiannis",sigmod record,2002,"world wide database - integrating the web , corba , and databases","a bouguettaya , b benatallah , l hendra , j beard , k smith , m ouzzani",sigmod conference,1999 __________________________,1.0
39,"world wide database - integrating the web , corba , and databases","a bouguettaya , b benatallah , l hendra , j beard , k smith , m ouzzani",sigmod conference,1999, For further information visit http://www.nasa.gov/wastewater/wastewater2/database/index.php, ©, 1,1999 __________________________,1.0
40, For further information visit http://www.nasa.gov/wastewater/wastewater2/database/index.php,"a bouguettaya , b benatallah , l hendra , j beard , k smith , m ouzzani",sigmod conference,1999 __________________________,l wong,s rue,2000 RANLIB,an introduction to rue 's monoculture,1.0
41, For further information visit http://www.nasa.gov/wastewater/wastewater2/database/index.php, ©,sigmod conference,1999 __________________________,generalizing gloss to vector-space databases and broker hierarchies,"l gravano , h gar",vldb,1995 itle,1.0
42,l wong,sigmod record,1995,an introduction to remy 's fast polymorphic record projection,on the cost of monitoring and reorganization of object bases for clustering,"c gerlhof , a kemper , g moerkotte",sigmod record,2003,1.0
43,generalizing gloss to vector-space databases and broker hierarchies,"l gravano , h garcia-molina",vldb,1995,updating xml,"tatarinov , z ives , a halevy , d weld","tatarinov , z ives , a halevy , d weld",2001 ikhov,1.0
44,on the cost of monitoring and reorganization of object bases for clustering,"c gerlhof , a kemper , g moerkotte",sigmod record,1996,evaluation of remote backup algorithms for transaction-processing systems,"c polyzois , h garcia-molina",acm trans . database syst .,"1994 c polyzois , id g .",1.0
45,updating xml,"i tatarinov , z ives , a halevy , d weld",sigmod conference,2001,semantic b2b implementation : concepts from monads,"z cui , d jones , p o'brien","z cui , d jones , p o'brien",2002 braska,1.0
46,evaluation of remote backup algorithms for transaction-processing systems,"c polyzois , h garcia-molina",acm trans . database syst .,1994,a workflow-based electronic marketplace on the web,"a dogac , i durusoy , s arpinar , n tat",sigmod release,1998 ��,1.0
47,semantic b2b integration : issues in ontology-based applications,"z cui , d jones , p o'brien",sigmod record,2002,optimizing queries across diverse data sources,"l haas , d kossmann , e wimmers , j yang",vldb,1997 _.calcol name,1.0
48,a workflow-based electronic marketplace on the web,"a dogac , i durusoy , s arpinar , n tatbul , p koksal , i cingil , n dimililer",sigmod record,1998,contrast plots and p-sphere trees : space vs. time in nearest neighbour searches,j,vldb,2000 ��,1.0
49,optimizing queries across diverse data sources,"l haas , d kossmann , e wimmers , j yang",vldb,1997,sequence generation,"m garofalakis , p gibbons",sigmod conference,"2002 �� AUTHEDS SABOTAGES, BANDETIME AND MANILA",1.0
50,contrast plots and p-sphere trees : space vs. time in nearest neighbour searches,"j goldstein , r ramakrishnan",vldb,2000,an adaptive data replication algorithm,"o wolfson , s jajodia , y huang",acm trans . database syst .,1996 O,1.0
51,wavelet synopses with error guarantees,"m garofalakis , p gibbons",sigmod conference,2002,dataroc_info,"c baru , a gupta , b ludфscher , r marciano , y papakonstantinou , p velikhov , v chu",sigmod conference,1996 ogeneous,1.0
52,an adaptive data replication algorithm,"o wolfson , s jajodia , y huang",acm trans . database syst .,1997,supporting state-wide immunisation tracking using multi-paradigm workflow technique,"a sheth , k kochut , j miller , d worah , s das , c lin , d palaniswami , j lynch , i shevchenko",vldb,1996 ��,1.0
53,xml-based information mediation with mix,"c baru , a gupta , b ludфscher , r marciano , y papakonstantinou , p velikhov , v chu",sigmod conference,1999,adaptable query optimization and evaluation in temporal middleware,g slugmelda,sigmod conference,"2001 References - Mladensson, G., Joveller",1.0
54,supporting state-wide immunisation tracking using multi-paradigm workflow technology,"a sheth , k kochut , j miller , d worah , s das , c lin , d palaniswami , j lynch , i shevchenko",vldb,1996,multivariate substring selectivity estimation,"h jagadish , o kapitskaia , r ng , d srivastava",vldb,1999 ��,1.0
55,adaptable query optimization and evaluation in temporal middleware,"g slivinskas , c jensen , r snodgrass",sigmod conference,2001,fast parallel similarity search in multimedia databases,"s berchtold , c bіhm , b braunmќller , d keim , h kriegel",sigmod conference,1997 itle,1.0
56,multi-dimensional substring selectivity estimation,"h jagadish , o kapitskaia , r ng , d srivastava",vldb,1999,digital library libraries,"b bhargava , m annamalai , e pitoura",sigmod record,1996 ��,1.0
57,fast parallel similarity search in multimedia databases,"s berchtold , c bіhm , b braunmќller , d keim , h kriegel",sigmod conference,1997,bioinformatics in biology title,s tsur,vldb,2000 ��,1.0
58,digital library services in mobile computing,"b bhargava , m annamalai , e pitoura",sigmod record,1995,an adaptive data replication algorithm,"o wolfson , s jajodia , y hu",acm trans . database syst .,1997 ��,1.0
59,data mining in the bioinformatics domain,s tsur,vldb,2000,adaptive query optimisation in time compression,"g slivinskas , c jensen , r snodgrass",sigmod conference,ibrary,1.0
